OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYBURG,CRMCYTOTC,TOTPOP_CY,UNEMPRT_CY_I,HISPPOP_CY_P,MEDHINC_CY_I,ACSVET_P,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,X14068_X_I,X14068FY_X_I,ACSHSGRAD_P,ACSVET_P_1,ACS35NOHI_P,ACSEDNOSCH_P,ACSGRNTI50_P,ACSBLWPV_P,ACSPUBAI_P,ACSHHDIS_P,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,AD-58,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,85,44,1580,43,31.77,137,9.34,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,124,129,19.08,9.05,3.69,1.04,18.18,7.27,1.5,20.75,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,105,115,0,0,4,0,0.0,1145.84,0,0.0,3886.45,1,38.07,642.38,8,0,0.0,1945.87,0.0,0,0.0,0,0.43,1,74.16,1,0.0,0,2.18,39.19,31.0,1.09,28.71,5,51.05
12,1,10,1236,AF-56,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,121,83,284,257,67.25,49,3.85,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,49,49,15.28,3.86,8.05,3.7,36.94,34.46,7.69,28.46,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.72984604,-118.27788594,"1500 S HARBOR BLVD, 90731",0.0,33.729846039_-118.277885937_0.jpg,1.0,0.7871,tent,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,73,60,0,0,0,0,0.0,1679.96,0,0.0,1811.67,2,836.6,464.5,0,0,0.0,1812.74,44.31,1,0.0,0,30.56,1,29.3,1,0.0,0,0.88,6.78,42.56,41.59,9.07,5,59.53
13,1,10,1237,AF-56,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,121,83,284,257,67.25,49,3.85,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,49,49,15.28,3.86,8.05,3.7,36.94,34.46,7.69,28.46,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.72984604,-118.27788594,"1500 S HARBOR BLVD, 90731",90.0,33.729846039_-118.277885937_90.jpg,1.0,0.8228,tent,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,73,60,0,0,0,0,0.0,1679.96,0,0.0,1811.67,2,836.6,464.5,0,0,0.0,1812.74,44.31,1,0.0,0,30.56,1,29.3,1,0.0,0,0.88,6.78,42.56,41.59,9.07,5,59.53
14,1,11,1269,AB-55,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,59,29,2896,88,27.07,177,5.72,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,155,156,22.01,4.45,3.53,3.59,38.12,7.66,0.63,21.66,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.7427847,-118.3170269,"1848 W 1ST ST, 90732",0.0,33.7427846987_-118.317026903_0.jpg,1.0,0.6383,tent,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,91,92,0,0,0,0,0.0,794.82,0,0.0,2565.39,5,1287.47,8.46,0,0,0.0,792.65,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,19.37,47.71,33.63,1.41,17.25,5,47.73
15,0,12,-1,AC-55,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,84,62,3988,95,41.35,160,4.29,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,132,132,16.79,4.8,1.67,1.44,20.06,11.93,1.29,19.11,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,15,1,0,0,0,0,0,0,1,0,0,1,295,276,0,0,2,15,1965.74,267.32,0,0.0,1707.96,10,1077.23,291.09,4,2,1964.76,267.17,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,3.52,25.64,47.22,1.41,25.73,5,62.0
16,0,13,-1,AD-55,12,US,13,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,126,106,6257,164,68.34,95,4.1,12,US,13,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,92,21.25,3.45,9.24,3.5,30.82,15.79,3.76,21.68,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,1,1,2,0,0,0,296,304,0,0,4,31,1636.1,437.54,7,315.68,487.3,3,822.5,504.28,12,5,293.69,508.87,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,4.41,23.1,58.99,2.38,15.52,5,69.97
17,1,14,1630,AE-55,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,126,146,9480,110,62.0,66,3.9,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,78,79,24.92,3.15,8.82,2.31,24.91,29.34,11.03,29.96,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.7424697,-118.28156752,"200 W 2ND ST, 90731",0.0,33.7424696993_-118.281567523_0.jpg,1.0,0.8542,tent,1.295,17.47,29.74,16.36,0,0,,,66,0,0,0,0,2,0,0,4,0,1,8,981,936,0,0,1,10,303.19,619.44,0,0.0,1010.61,1,315.93,434.42,31,0,0.0,1059.43,0.84,1,0.0,0,0.95,1,99.57,1,0.0,0,0.35,9.07,72.27,1.5,17.17,5,80.48
18,1,14,1631,AE-55,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,126,146,9480,110,62.0,66,3.9,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,78,79,24.92,3.15,8.82,2.31,24.91,29.34,11.03,29.96,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.7424697,-118.28156752,"200 W 2ND ST, 90731",270.0,33.7424696993_-118.281567523_270.jpg,1.0,0.7633,tent,1.295,17.47,29.74,16.36,0,0,,,66,0,0,0,0,2,0,0,4,0,1,8,981,936,0,0,1,10,303.19,619.44,0,0.0,1010.61,1,315.93,434.42,31,0,0.0,1059.43,0.84,1,0.0,0,0.95,1,99.57,1,0.0,0,0.35,9.07,72.27,1.5,17.17,5,80.48
19,0,15,-1,AF-55,14,US,15,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,147,136,288,71,71.88,45,3.17,14,US,15,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,52,51,21.15,2.53,13.32,4.3,22.06,21.55,30.88,17.65,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,3,0,1,0,0,0,0,0,0,0,0,0,56,47,0,0,0,3,660.68,608.21,3,660.68,608.21,1,419.54,307.35,3,2,658.66,608.85,37.58,1,0.0,0,22.02,1,30.95,1,0.0,0,0.09,2.73,63.41,28.76,5.1,5,74.36
20,0,16,-1,AB-54,15,US,16,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,101,46,2097,43,20.41,253,4.21,15,US,16,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,219,217,10.99,3.83,1.39,0.0,28.81,5.55,0.0,18.69,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0.0,780.49,0,0.0,2504.2,0,0.0,1170.66,0,0,0.0,776.56,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,23.44,51.19,29.69,1.15,17.97,5,43.75
21,0,17,-1,AC-54,16,US,17,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,63,3588,90,39.21,161,5.1,16,US,17,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,142,142,19.18,4.25,3.32,1.59,28.37,2.8,2.28,20.75,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,12,0,0,0,0,1,1,1,0,0,0,0,212,227,0,0,4,32,2470.94,63.37,0,0.0,1469.18,1,181.82,643.68,12,2,2471.05,63.46,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,5.19,37.98,37.54,0.95,23.53,5,54.72
22,1,18,1617,AD-54,17,US,18,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,74,93,3016,157,44.36,129,1.95,17,US,18,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,105,107,18.22,1.34,7.0,3.43,25.23,5.41,7.35,32.06,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.75551178,-118.29370788,"761 W BASIN ST, 90731",90.0,33.7555117762_-118.29370788_90.jpg,2.0,0.8339,tent,1.295,17.47,29.74,16.36,0,0,,,9,0,1,0,0,0,0,1,0,0,0,0,242,197,0,0,0,33,3154.06,445.58,18,1968.35,460.86,2,539.81,519.26,1,3,980.42,543.96,0.0,0,0.0,0,0.06,1,100.0,1,0.0,0,5.56,31.48,47.62,2.2,18.69,5,61.67
23,1,19,32,AE-54,18,US,19,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,129,105,3876,224,81.71,68,4.83,18,US,19,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,59,60,36.78,4.95,7.31,2.27,33.58,15.77,5.17,22.11,api_test_workflow_v2_10pct_model6_2026-05-06_live,33.74795095,-118.28158103,"604 N PALOS VERDES ST, 90731",0.0,33.7479509512_-118.281581028_0.jpg,1.0,0.8274,tent,1.295,17.47,29.74,16.36,0,0,,,27,0,0,0,1,1,0,0,0,0,0,0,182,158,0,0,4,43,6522.84,112.05,43,6522.84,112.05,0,0.0,702.7,2,8,4240.71,117.22,2.01,1,0.0,0,11.99,1,89.88,1,0.0,0,1.47,18.83,59.41,4.06,17.7,5,71.15
24,1,19,1733,AE-54,18,US,19,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,129,105,3876,224,81.71,68,4.83,18,US,19,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,59,60,36.78,4.95,7.31,2.27,33.58,15.77,5.17,22.11,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,33.74862994,-118.29220536,"630 N GAFFEY PL, 90731",270.0,33.7486299433_-118.292205362_270.jpg,1.0,0.8704,tent,1.295,17.47,29.74,16.36,0,0,,,27,0,0,0,1,1,0,0,0,0,0,0,182,158,0,0,4,43,6522.84,112.05,43,6522.84,112.05,0,0.0,702.7,2,8,4240.71,117.22,2.01,1,0.0,0,11.99,1,89.88,1,0.0,0,1.47,18.83,59.41,4.06,17.7,5,71.15
25,0,20,-1,AF-54,19,US,20,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,0,0,0.0,0,0.0,19,US,20,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,891.36,586.78,2,891.36,586.78,0,0.0,697.07,0,2,892.0,587.05,53.16,1,0.0,0,15.42,1,45.46,1,0.0,0,0.0,1.58,53.08,42.69,2.64,5,67.16
26,0,21,-1,AD-53,20,US,21,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,65,132,1188,129,33.16,176,4.29,20,US,21,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,126,126,10.58,4.28,0.19,3.66,87.8,2.84,3.89,39.72,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,6,0,0,0,0,1,0,0,0,0,0,0,103,98,0,0,5,5,1190.38,297.58,0,0.0,1049.45,8,1213.91,201.67,0,0,0.0,1053.35,0.0,0,0.0,0,0.0,0,70.17,1,0.0,0,3.08,35.48,34.6,1.23,28.7,5,53.3
27,0,22,-1,AE-53,21,US,22,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,0,0,0.0,0,0.0,21,US,22,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,9,3261.38,102.5,8,3130.94,102.5,1,288.64,621.56,0,4,2620.31,103.0,1.53,1,0.0,0,2.63,1,98.37,1,0.0,0,2.91,17.27,71.45,0.88,10.4,5,79.14
28,0,23,-1,AF-53,22,US,23,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,124,91,8,0,87.5,0,0.0,22,US,23,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,38.46,0.0,4.17,7.69,0.0,17.39,0.0,0.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11,1552.09,467.86,2,246.68,497.94,0,0.0,1512.91,0,0,0.0,696.57,28.75,1,0.0,0,5.63,1,69.99,1,0.0,0,0.0,1.94,68.84,23.5,5.72,5,78.19
29,0,24,-1,AH-53,23,US,24,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,162,195,50,1057,28.0,17,0.0,23,US,24,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,58,52,16.67,0.0,0.0,0.0,100.0,100.0,0.0,50.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,9,9,0,0,0,1,7.9,703.33,0,0.0,1077.57,1,1205.7,164.12,2,0,0.0,1088.84,47.15,1,0.0,0,0.0,0,46.69,1,0.0,0,0.26,4.84,53.87,28.35,12.94,5,67.63
30,0,25,-1,AD-52,24,US,25,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,79,112,1680,221,38.21,135,3.8,24,US,25,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,112,113,17.94,3.13,4.93,0.94,16.91,11.84,1.24,18.81,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,3,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,8,1452.91,94.07,0,0.0,1361.46,0,0.0,776.51,1,0,0.0,1119.33,4.4,1,0.0,0,0.78,1,62.48,1,0.0,0,3.26,37.8,30.13,2.47,29.6,5,50.11
31,0,26,-1,AE-52,25,US,26,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,119,155,108,105,77.78,44,1.45,25,US,26,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,56,57,24.62,1.33,4.46,4.62,38.89,35.14,5.0,25.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,28,3696.97,427.74,27,3659.82,427.74,0,0.0,890.08,0,2,1913.72,498.44,0.0,0,0.0,0,0.83,1,100.0,1,0.0,0,0.09,1.67,82.66,0.97,14.7,5,87.84
