OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYBURG,CRMCYTOTC,TOTPOP_CY,UNEMPRT_CY_I,HISPPOP_CY_P,MEDHINC_CY_I,ACSVET_P,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,ACSHHDIS_P,ACSPUBAI_P,ACSGRNTI50_P,ACSEDNOSCH_P,ACS35NOHI_P,ACSVET_P_1,ACSHSGRAD_P,ACSHHPBLPV_P,X14068_X_I,X14068FY_X_I,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,I-10,0,US,411,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,89,85,8099,45,49.92,118,2.89,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,23.57,2.12,25.67,5.37,4.36,1.96,14.08,9.85,104,106,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,57,0,0,0,0,1,1,0,0,0,0,2,751,747,0,0,2,43,3904.06,128.42,0,0.0,3741.23,1,1497.94,125.49,9,0,0.0,3769.86,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.7,20.34,52.62,6.47,20.58,5,66.02
12,1,6,1504,N-10,5,US,416,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,114,6425,195,73.67,76,1.22,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.76,7.75,29.79,6.93,7.52,1.41,22.77,20.79,76,80,api_test_workflow_v8_remaining_location_deduped_10pct_2026-05-22,34.21123616,-118.4493044,"14505 W RAYMER ST, 91405",90.0,34.21123616_-118.449304399_90.jpg,2.0,0.8768,tent,1.9425,17.47,29.74,16.36,0,0,,,75,0,1,0,0,2,0,0,0,0,0,3,901,893,0,0,6,33,2996.05,170.26,0,0.0,2425.58,6,1516.66,239.89,14,0,0.0,2425.57,0.75,1,0.0,0,0.0,0,100.0,1,0.0,0,1.85,9.77,75.32,2.08,12.83,5,82.17
13,1,7,17,O-10,6,US,417,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,86,84,11071,136,54.86,74,2.47,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.83,6.83,42.15,3.66,4.07,2.69,22.26,17.94,65,65,api_test_workflow_v2_10pct_model6_2026-05-06_live,34.20763679,-118.42898394,"13601 W RAYMER ST, 91405",270.0,34.2076367916_-118.428983938_270.jpg,1.0,0.7868,tent,1.9425,17.47,29.74,16.36,0,0,,,36,0,0,0,0,0,0,0,0,0,0,1,1124,1152,0,0,0,43,2982.28,138.61,0,0.0,2419.57,8,2892.73,387.52,9,0,0.0,2420.69,3.47,1,2.96,1,0.0,0,100.0,1,0.0,0,2.35,14.54,66.33,3.24,15.89,5,75.73
14,1,7,1610,O-10,6,US,417,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,86,84,11071,136,54.86,74,2.47,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.83,6.83,42.15,3.66,4.07,2.69,22.26,17.94,65,65,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,34.20952442,-118.42882112,"13601 W SATICOY ST, 91402",270.0,34.2095244208_-118.428821115_270.jpg,1.0,0.7185,tent,1.9425,17.47,29.74,16.36,0,0,,,36,0,0,0,0,0,0,0,0,0,0,1,1124,1152,0,0,0,43,2982.28,138.61,0,0.0,2419.57,8,2892.73,387.52,9,0,0.0,2420.69,3.47,1,2.96,1,0.0,0,100.0,1,0.0,0,2.35,14.54,66.33,3.24,15.89,5,75.73
15,1,8,1537,P-10,7,US,418,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,143,174,5552,169,35.1,111,1.49,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.19,3.46,46.44,3.74,3.35,1.14,22.98,11.99,106,110,api_test_workflow_v8_remaining_location_deduped_10pct_2026-05-22,34.20594624,-118.42134586,"13244 W RAYMER ST, 91605",90.0,34.2059462432_-118.421345856_90.jpg,1.0,0.8611,tent,1.9425,17.47,29.74,16.36,0,0,,,42,0,0,0,0,0,0,0,0,0,0,6,772,759,0,0,4,0,0.0,992.43,0,0.0,992.43,1,1074.79,597.73,1,0,0.0,991.08,3.0,1,3.01,1,0.0,0,100.0,1,0.0,0,1.33,13.78,62.02,4.52,19.69,5,73.02
16,1,9,1324,Q-10,8,US,419,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,105,107,4615,114,37.31,91,1.53,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,25.45,4.99,40.26,3.86,3.27,1.08,14.66,9.28,89,94,api_test_workflow_v2_remaining_model6_2026-05-08,34.20861502,-118.39908226,"12205 W SATICOY ST, 91605",90.0,34.2086150209_-118.39908226_90.jpg,1.0,0.6577,tent,1.9425,17.47,29.74,16.36,0,0,,,42,0,0,0,0,0,0,0,0,0,0,0,767,819,0,0,0,68,10628.34,75.08,29,8403.31,75.08,0,0.0,1231.51,8,2,3119.06,73.25,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.47,10.46,69.08,4.53,15.93,5,78.21
17,1,10,109,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_remaining_model6_2026-05-08,34.21875871,-118.39067581,"8175 N WEBB AVE, 91605",90.0,34.2187587098_-118.390675807_90.jpg,1.0,0.9021,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
18,1,10,192,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_remaining_model6_2026-05-08,34.2145266,-118.38762829,"7918 N LANKERSHIM BLVD, 91605",90.0,34.2145266012_-118.387628286_90.jpg,1.0,0.8818,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
19,1,10,316,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_5pct_2026-04-25,34.21555263,-118.3862307,"11650 W STRATHERN ST, 91605",90.0,34.2155526337_-118.386230704_90.jpg,1.0,0.7482,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
20,1,10,338,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_5pct_2026-04-25,34.21879159,-118.39082878,"8145 N WEBB AVE, 91605",90.0,34.2187915874_-118.390828785_90.jpg,1.0,0.7542,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
21,1,10,365,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_5pct_fresh_2026-04-28,34.2147966,-118.3900083,"BLYTHE ST AT MORELLA AVE, 91605",180.0,34.2147965969_-118.390008298_180.jpg,1.0,0.6536,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
22,1,10,407,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_20pct_model6_2026-05-07,34.2100313,-118.38911353,"7659 N SIMPSON AVE, 91605",0.0,34.2100313035_-118.38911353_0.jpg,1.0,0.7951,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
23,1,10,408,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_20pct_model6_2026-05-07,34.2100313,-118.38911353,"7659 N SIMPSON AVE, 91605",90.0,34.2100313035_-118.38911353_90.jpg,1.0,0.8214,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
24,1,10,688,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_remaining_model6_2026-05-08,34.21555874,-118.38976152,"11756 W STRATHERN ST, 91605",90.0,34.2155587424_-118.389761524_90.jpg,1.0,0.6727,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
25,1,10,831,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v2_10pct_model6_2026-05-06_live,34.21848236,-118.390431,"8159 N WEBB AVE, 91605",270.0,34.2184823567_-118.390430997_270.jpg,3.0,0.8561,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
26,1,10,1695,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.21397048,-118.38704469,"11673 W ARMINTA ST, 91605",270.0,34.2139704767_-118.387044685_270.jpg,1.0,0.7885,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
27,1,10,1721,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.20845233,-118.39001561,"SATICOY ST AT MORELLA AVE, 91605",270.0,34.2084523252_-118.390015615_270.jpg,1.0,0.7983,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
28,1,10,1736,R-10,9,US,420,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,113,12180,140,69.37,80,1.55,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.07,5.74,35.19,8.1,7.87,0.8,18.89,13.54,85,88,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.21845819,-118.3901221,"8150 N WEBB AVE, 91605",270.0,34.2184581871_-118.390122098_270.jpg,1.0,0.7272,tent,1.9425,17.47,29.74,16.36,0,0,,,80,0,0,0,0,1,0,0,0,0,0,5,1081,1051,0,0,2,43,2587.89,255.39,0,0.0,1518.9,0,0.0,1717.99,11,0,0.0,1517.08,0.1,1,0.0,0,0.1,1,100.0,1,0.0,0,2.14,16.19,65.18,4.05,14.57,5,74.98
